Trial,F1_Score,Architecture,Learning_Rate,Dropout,Batch_Size,Optimizer,Scheduler
0,0.6637554585152838,ResidualMLP,0.0026070247583707684,0.2624074561769746,16,adam,onecycle
1,0.6502057613168725,WideShallowMLP,0.0023359635026261607,0.5862528132298237,128,adamw,cosine
2,0.6612903225806451,WideShallowMLP,0.0040215545266902904,0.3427013306774357,16,adamw,onecycle
3,0.6842105263157895,WideShallowMLP,0.0007162786999897341,0.4245108790277985,64,adamw,plateau
4,0.6666666666666666,AttentionMLP,0.005265761277157428,0.2440207698110707,16,adamw,cosine
5,0.6695278969957081,ResidualMLP,0.00029872741995638395,0.3957811041110252,64,adam,cosine
6,0.6330275229357798,WideShallowMLP,0.0012894414393074191,0.5509357413523923,128,adamw,plateau
7,0.6666666666666666,AttentionMLP,0.0031115931750282638,0.28970772378422394,16,adamw,onecycle
8,0.6607142857142857,AttentionMLP,0.008576491037046158,0.34806348010217775,16,adamw,plateau
9,0.6527196652719666,WideShallowMLP,0.003949938719735901,0.5468289274320415,64,adam,onecycle
10,0.669260700389105,RegularizedMLP,0.00017611426142759076,0.47995000396863896,32,adam,plateau
11,0.6696035242290749,ResidualMLP,0.00030312089529844035,0.43776125195627474,64,adam,cosine
12,0.680672268907563,ResidualMLP,0.00045901373769776776,0.4603009522168095,64,adam,cosine
13,0.6639676113360324,RegularizedMLP,0.00089332216210778,0.4841319280508033,64,adam,plateau
14,0.6578947368421053,ResidualMLP,0.0006182285182806145,0.4343872902276027,64,adamw,cosine
15,0.6425339366515838,WideShallowMLP,0.00010580637504288371,0.4914900737068661,32,adam,plateau
16,0.6640316205533597,ResidualMLP,0.0005006988404032519,0.3665023809022304,64,adamw,cosine
17,0.6547085201793722,RegularizedMLP,0.0013329680368092164,0.42839248012286907,64,adam,plateau
18,0.6577777777777778,ResidualMLP,0.00038013759379469073,0.30632429079356643,64,adamw,plateau
19,0.6606334841628959,WideShallowMLP,0.0007715528624810605,0.20555902327160674,32,adam,cosine
20,0.6666666666666666,WideShallowMLP,0.00021362516282412896,0.5116131329133695,128,adam,cosine
21,0.683982683982684,ResidualMLP,0.00032379360857769324,0.43972675461164906,64,adam,cosine
22,0.658008658008658,ResidualMLP,0.0004909147275011148,0.39343219188903583,64,adam,cosine
23,0.6666666666666666,ResidualMLP,0.0014169311777801432,0.45829198953262235,64,adam,cosine
24,0.6586345381526104,ResidualMLP,0.000161392194034843,0.5253069407634013,64,adam,cosine
25,0.6547085201793722,ResidualMLP,0.00035402528276724994,0.4041129973128675,64,adam,plateau
26,0.6666666666666666,RegularizedMLP,0.0006463409742176171,0.46576316724641315,64,adamw,cosine
27,0.6666666666666666,AttentionMLP,0.00022612393260670364,0.371893534510911,64,adam,cosine
28,0.6468085106382979,ResidualMLP,0.0017717662745923204,0.41892571419685026,128,adamw,plateau
29,0.6696428571428571,ResidualMLP,0.0010514804306497026,0.4488251750588098,32,adam,onecycle
30,0.6610878661087866,WideShallowMLP,0.00011043784144046676,0.5859836261817521,64,adam,onecycle
31,0.6608695652173913,ResidualMLP,0.0009866064542029722,0.4518066155100928,32,adam,onecycle
32,0.6747967479674797,ResidualMLP,0.0004390544199876483,0.41495203776751577,32,adam,onecycle
33,0.6557377049180327,ResidualMLP,0.0004594233683536242,0.3741101001465383,32,adam,onecycle
34,0.6547085201793722,ResidualMLP,0.0006520697292300507,0.3284837546113121,32,adam,onecycle
35,0.6521739130434783,WideShallowMLP,0.00025615958736476473,0.4149294762849687,16,adamw,onecycle
36,0.6585365853658537,ResidualMLP,0.0003685985165673551,0.5068338067296333,128,adam,cosine
37,0.6422018348623854,AttentionMLP,0.00047655830133257106,0.391896463293583,32,adamw,cosine
38,0.672566371681416,WideShallowMLP,0.00016035741385447974,0.4681545610762131,16,adamw,onecycle
39,0.6721991701244814,ResidualMLP,0.0002947015574708817,0.35131111389644787,64,adam,plateau
40,0.6556016597510373,AttentionMLP,0.001875467800390705,0.5314743724171984,128,adamw,cosine
41,0.6607929515418502,WideShallowMLP,0.000141510863988214,0.46684048051767035,16,adamw,onecycle
42,0.6666666666666666,WideShallowMLP,0.00019795433080741683,0.487763863025491,16,adamw,onecycle
43,0.6486486486486487,WideShallowMLP,0.00012816098623310367,0.41307068307150757,16,adamw,onecycle
44,0.6554621848739496,WideShallowMLP,0.0002834683566362239,0.44868308524515843,16,adamw,onecycle
45,0.6608695652173913,WideShallowMLP,0.0004050218433781822,0.4338361183448237,16,adamw,onecycle
46,0.6582278481012658,RegularizedMLP,0.0005826883551982641,0.47478314543456646,64,adam,plateau
47,0.6666666666666666,ResidualMLP,0.000793869450747795,0.4981666823340611,16,adamw,onecycle
48,0.6491228070175439,WideShallowMLP,0.0002503172795362272,0.5605428645050751,64,adam,cosine
49,0.6637931034482759,ResidualMLP,0.00018101605588563015,0.43033999984862303,32,adamw,plateau
50,0.6550218340611353,WideShallowMLP,0.0003328605851516567,0.3863023467758691,64,adam,onecycle
51,0.6582278481012658,ResidualMLP,0.0002789006582967101,0.33088946866139396,64,adam,plateau
52,0.6615384615384615,ResidualMLP,0.0005533814043739071,0.35703141634191593,64,adam,plateau
53,0.6547085201793722,ResidualMLP,0.008353288281362819,0.2713227053640853,64,adam,plateau
54,0.6451612903225806,ResidualMLP,0.00031195935242337076,0.30605815199651504,64,adam,plateau
55,0.6521739130434783,ResidualMLP,0.0004219307971336928,0.34481653324082034,64,adam,plateau
56,0.6553191489361702,RegularizedMLP,0.0007670995778205285,0.4037365141838229,64,adam,cosine
57,0.6753246753246753,AttentionMLP,0.00015707094717361882,0.38252393658635564,64,adam,plateau
58,0.6614173228346457,AttentionMLP,0.0001452680753117005,0.38224381487663245,32,adamw,cosine
59,0.6614173228346457,AttentionMLP,0.0002226133203995723,0.44196870448738806,64,adam,plateau
60,0.6577777777777778,AttentionMLP,0.00012470733399557712,0.4236015524158383,128,adam,cosine
61,0.6470588235294118,AttentionMLP,0.00020037933605272944,0.35538913645320397,64,adam,plateau
62,0.6720647773279352,ResidualMLP,0.00016402883132737704,0.4659642799626295,64,adam,plateau
63,0.6694915254237288,ResidualMLP,0.0003402361192116527,0.4040823704992342,64,adam,plateau
64,0.6457399103139013,WideShallowMLP,0.0005270996255136685,0.3343449486256963,64,adam,plateau
65,0.6515837104072398,AttentionMLP,0.00010076555308638614,0.47551195050621037,64,adam,plateau
66,0.6695278969957081,ResidualMLP,0.0011221157524857965,0.3670260035277856,64,adam,plateau
67,0.6666666666666666,RegularizedMLP,0.0002486960133178559,0.4408300346571612,32,adamw,cosine
68,0.6551724137931034,ResidualMLP,0.0007053479596407304,0.41171814675563095,16,adam,onecycle
69,0.6577777777777778,WideShallowMLP,0.0004170465388761632,0.31240749484222374,64,adam,cosine
70,0.6695278969957081,ResidualMLP,0.0002994747294598924,0.381960448962664,64,adamw,onecycle
71,0.6586345381526104,ResidualMLP,0.00016513242783405325,0.4592364157154842,64,adam,plateau
72,0.6638297872340425,ResidualMLP,0.0001825531230516947,0.4732186753719341,64,adam,plateau
73,0.6864406779661016,ResidualMLP,0.0001508972190825369,0.5016966206465564,64,adam,plateau
74,0.6693227091633466,ResidualMLP,0.0001175300061838875,0.49922014428381134,64,adam,plateau
75,0.6636363636363637,ResidualMLP,0.00023242652891414172,0.4835653220865635,32,adam,plateau
76,0.6752136752136753,AttentionMLP,0.00013442707391885875,0.4228515882852032,128,adam,plateau
77,0.6451612903225806,AttentionMLP,0.00014415030193352257,0.5198145714123851,128,adamw,cosine
78,0.6428571428571429,AttentionMLP,0.0001361344370724266,0.5387206784639571,128,adam,onecycle
79,0.6330275229357798,AttentionMLP,0.0008913818343433226,0.42268490830911853,128,adam,plateau
80,0.6694915254237288,AttentionMLP,0.00011405876121103733,0.4555949346548306,128,adamw,onecycle
81,0.6610878661087866,WideShallowMLP,0.00015203223668888556,0.3936827094700456,16,adam,plateau
82,0.641860465116279,ResidualMLP,0.0004581646597382605,0.43792179631913447,64,adam,plateau
83,0.6548672566371682,AttentionMLP,0.0001992916312169214,0.4121390577754624,128,adam,plateau
84,0.6523605150214592,WideShallowMLP,0.00038746927864991823,0.42513021421092856,64,adam,plateau
85,0.6486486486486487,ResidualMLP,0.0006353309171294692,0.49673523512051504,16,adam,plateau
86,0.6637168141592921,RegularizedMLP,0.0002728229119630387,0.44788922393756203,32,adam,cosine
87,0.6553191489361702,ResidualMLP,0.0030996116515000713,0.3591834963326653,64,adamw,onecycle
88,0.6484018264840182,WideShallowMLP,0.000331470645566573,0.5133450429037169,64,adam,plateau
89,0.6607142857142857,ResidualMLP,0.00018791826174047809,0.3977782723585009,64,adam,cosine
90,0.6551724137931034,AttentionMLP,0.0001260349209048615,0.3764065106701728,16,adamw,plateau
91,0.6639676113360324,ResidualMLP,0.0001526867594949397,0.46405136502830574,64,adam,plateau
92,0.6694915254237288,ResidualMLP,0.0001757662406895202,0.469077804034984,64,adam,plateau
93,0.6612903225806451,ResidualMLP,0.00020922406466838565,0.23034846768639472,64,adam,plateau
94,0.6781115879828327,ResidualMLP,0.00016275324476152525,0.48253450347939886,64,adam,plateau
95,0.6558704453441295,ResidualMLP,0.0005724427812126745,0.4332989137428299,64,adam,plateau
96,0.6578947368421053,WideShallowMLP,0.00013164195034977096,0.48891223915887017,32,adam,onecycle
97,0.672566371681416,ResidualMLP,0.00010737776751457853,0.4532688947589206,128,adam,plateau
98,0.675,ResidualMLP,0.00010547578304278104,0.4437988279328738,128,adam,cosine
99,0.6330275229357798,AttentionMLP,0.00011707379696459448,0.480436660924642,128,adamw,cosine
